spins,nodes,mean_app,mean_mpi,max_app,max_mpi,min_app,min_mpi,std_app,std_mpi,barrier_perc,reduce_perc,bcast_perc
128,3,86500.0,3713.703703703704,86500.0,25400.0,86500.0,1900.0,0.0,2166.7770081336957,97.7,2.26815,0.02874
128,4,65400.0,3229.4444444444443,65400.0,19900.0,65400.0,1960.0,0.0,1460.6679082360706,97.4,2.591,0.02799
128,5,52900.0,2872.3888888888887,52900.0,15800.0,52900.0,2010.0,0.0,1012.1802144223291,96.3,3.6305,0.0697
128,6,44700.0,2681.25,44700.0,13700.0,44700.0,1890.0,0.0,796.2398916886035,95.4,4.5302,0.0749
128,9,31200.0,2853.641975308642,31200.0,9970.0,31200.0,2410.0,0.0,429.52959534711715,94.5,5.4859,0.028999999999999998
128,10,28500.0,2840.8888888888887,28500.0,9280.0,28500.0,2020.0,0.0,376.8315183088624,94.6,5.3999,0.032
128,12,24000.0,2417.824074074074,24000.0,7770.0,24000.0,2020.0,0.0,290.542155151803,93.7,6.29,0.0347
128,15,19700.0,2112.8703703703704,19700.0,6450.0,19700.0,1760.0,0.0,220.36506616467685,92.4,7.5651,0.0382
128,18,16900.0,2127.2685185185187,16900.0,5580.0,16900.0,1880.0,0.0,180.126459432258,95.6,4.3091,0.0697
