nodes,mean_apptime_old,mean_mpitime_old,mean_apptime_new,mean_mpitime_new,mean_apptime_diff,powenodes
3,86481.48148148147,3712.962962962963,76608.814179,15544.166336,-9872.66730248148,0.3333333333333333
6,44675.92592592593,2680.5555555555557,38866.22501,8164.426437,-5809.700915925925,0.16666666666666666
9,31172.83950617284,2854.938271604938,27893.323108,7325.510698,-3279.51639817284,0.1111111111111111
12,24074.074074074073,2407.4074074074074,21342.013051,5854.645751,-2732.0610230740713,0.08333333333333333
18,16820.987654320987,2129.6296296296296,14041.683637,3593.874157,-2779.3040173209865,0.05555555555555555
