nodes,mean_apptime_old,mean_mpitime_old,std_apptime_old,std_mpitime_old,barrier_perc,reduce_perc,bcast_perc,mean_apptime_new,mean_mpitime_new,std_apptime_new,std_mpitime_new,mean_app_diff,mean_mpi_diff,mpi_diff_error,compute_old,compute_new,compute_diff,diff_error
3,86500.0,3713.703703703704,0.0,2166.777008133696,97.7,2.26815,0.02874,76608.814179,15544.166336,0.112443,1563.552633,-9891.185821000006,11830.462632296296,2672.0066315670038,82786.29629629629,61064.64784299999,-21721.6484532963,2672.0066339329087
6,44700.0,2681.25,0.0,796.2398916886035,95.4,4.5302,0.0749,38866.22501,8164.426437,0.242206,599.614069,-5833.774989999998,5483.176437,996.7622569394449,42018.75,30701.798573,-11316.951427,996.7622863665952
9,31200.0,2853.641975308642,0.0,429.5295953471172,94.5,5.4859,0.0289999999999999,27893.323108,7325.510698,0.32546,627.538156,-3306.6768919999995,4471.868722691358,760.4602622852417,28346.35802469136,20567.81241,-7778.54561469136,760.4603319300423
12,24000.0,2417.824074074074,0.0,290.542155151803,93.7,6.29,0.0347,21342.013051,5854.645751,0.188532,281.395127,-2657.9869489999983,3436.821676925926,404.4724482824516,21582.175925925927,15487.367300000002,-6094.808625925925,404.47249222155455
18,16900.0,2127.2685185185187,0.0,180.126459432258,95.6,4.3091,0.0697,14041.683637,3593.874157,0.13397,223.858077,-2858.316363,1466.6056384814815,287.32904486970824,14772.731481481482,10447.80948,-4324.922001481482,287.3290761021232
