nodes,mcblocks,mean_apptime,mean_mpitime,mcblocks_std,mean_apptime_std,mean_mpitime_std,powenodes
4,50.0,14791.666666666666,812.5,,,,0.25
5,50.0,12000.0,805.5555555555555,,,,0.2
6,50.0,10185.185185185184,763.8888888888889,,,,0.16666666666666666
9,50.0,7191.358024691358,827.1604938271605,,,,0.1111111111111111
10,50.0,6722.222222222223,977.7777777777778,,,,0.1
12,50.0,5578.7037037037035,743.0555555555555,,,,0.08333333333333333
15,50.0,4722.222222222223,827.7777777777778,,,,0.06666666666666667
18,50.0,4197.530864197531,899.6913580246913,,,,0.05555555555555555
