nodes,mean_app_old,mean_mpi_old,std_app_old,std_mpi_old,barrier_perc_old,reduce_perc_old,bcast_perc_old,mean_app_new,mean_mpi_new,std_app_new,std_mpi_new,barrier_perc_new,reduce_perc_new,bcast_perc_new,mean_app_diff,mean_mpi_diff,mpi_diff_error,compute_old,compute_new,compute_diff,diff_error
6,10293.1359645,898.7435405000001,0.160768,131.0422185,0.0,80.262,19.7375,9922.706508,758.0841909999999,0.040171,129.429237,0.0,78.693,21.3075,-370.4294565,-140.6593495000002,184.1846639104459,9394.392424,9164.622317,-229.77010700000028,184.18473845534265
9,7205.811057999999,841.841012,0.01752,114.858852,0.0,86.47550000000001,13.524,6985.4459165,900.77454,0.0752169999999999,157.7010315,0.0,86.11349999999999,13.8865,-220.36514149999948,58.933528000000024,195.09528753642897,6363.9700459999995,6084.6713764999995,-279.29866949999996,195.0953028226702
12,5675.3373165,852.066138,0.018436,96.145815,0.0,72.388,27.6115,5376.9797755,797.441405,0.014957,98.654563,0.0,73.8715,26.128,-298.3575410000003,-54.62473299999999,137.75609076456544,4823.2711785,4579.5383705,-243.73280799999975,137.75609281020255
15,4783.210496,877.200542,0.171407,92.324059,0.0,91.34,8.659500000000001,4450.9906505,791.9410435,0.0329225,93.4201905,0.0,90.9825,9.0185,-332.2198454999998,-85.25949850000006,131.3433053615287,3906.0099539999997,3659.049607,-246.96034699999973,131.34342133332157
18,4148.073836,848.131592,0.010538,83.176112,0.0,81.399,18.601,3779.657737,736.893673,0.036648,89.07897,0.0,81.248,18.751,-368.4160989999996,-111.23791899999992,121.87423232044354,3299.942244,3042.764064,-257.1781799999999,121.87423828612343
