nodes,mean_apptime_old,mean_mpitime_old,mean_apptime_new,mean_mpitime_new,mean_apptime_diff
6,10293.135964500001,898.7435405000001,9922.706508,758.0841909999999,-370.42945650000183
9,7205.811057999999,841.841012,6985.4459165,900.77454,-220.36514149999948
12,5675.3373165,852.066138,5376.9797755,797.441405,-298.3575410000003
15,4783.210496,877.200542,4450.9906505,791.9410435,-332.2198454999998
18,4148.073836,848.131592,3779.657737,736.893673,-368.4160989999996
