nodes,mcblocks,mean_apptime,mean_mpitime,mcblocks_std,mean_apptime_std,mean_mpitime_std,powenodes
4,50.0,65416.666666666664,3229.1666666666665,,,,0.25
5,50.0,52888.88888888889,2872.222222222222,,,,0.2
6,50.0,44675.92592592593,2680.5555555555557,,,,0.16666666666666666
9,50.0,31172.83950617284,2854.938271604938,,,,0.1111111111111111
10,50.0,28611.11111111111,2833.3333333333335,,,,0.1
12,50.0,24074.074074074073,2407.4074074074074,,,,0.08333333333333333
15,50.0,19629.62962962963,2111.1111111111113,,,,0.06666666666666667
18,50.0,16820.987654320987,2129.6296296296296,,,,0.05555555555555555
